oa_code,rnk,appliance_callsign,drive_time
E00076085,1,KV49P1,3.78
E00076086,1,KV49P1,4.28
E00076087,1,KV50P2,4.03
E00076088,1,KV49P1,4.48
E00076089,1,KV50P2,3.23
E00076090,1,KV50P2,3.1
E00076091,1,KV50P2,2.71
E00076092,1,KV50P2,3.55
E00076093,1,KV50P2,2.65
E00076094,1,KV50P2,2.44
E00076095,1,KV50P2,2.44
E00076096,1,KV50P2,3.46
E00076097,1,KV50P2,1.73
E00076099,1,KV49P1,2.89
E00076100,1,KV49P1,2.64
E00076101,1,KV49P1,0.33
E00076102,1,KV49P1,1.86
E00076103,1,KV49P1,2.16
E00076104,1,KV49P1,3.95
E00076105,1,KV49P1,2.17
E00076106,1,KV49P1,1.79
E00076107,1,KV49P1,3.43
E00076108,1,KV49P1,2.57
E00076109,1,KV49P1,3.74
E00076110,1,KV49P1,2.99
E00076111,1,KV49P1,3.24
E00076112,1,KV49P1,2.98
E00076113,1,KV49P1,3.29
E00076114,1,KV49P1,2.81
E00076115,1,KV49P1,2.87
E00076116,1,KV49P1,3.42
E00076117,1,KV49P1,3.36
E00076118,1,KV49P1,0.42
E00076119,1,KV49P1,0.54
E00076120,1,KV49P1,0.55
E00076122,1,KV49P1,1.83
E00076123,1,KV49P1,0.51
E00076124,1,KV49P1,2.63
E00076125,1,KV49P1,1.19
E00076126,1,KV49P1,1.31
E00076127,1,KV49P1,1.44
E00076128,1,KV49P1,3.14
E00076129,1,KV49P1,1.0
E00076130,1,KV49P1,1.56
E00076131,1,KV49P1,2.04
E00076132,1,KV49P1,2.01
E00076133,1,KV49P1,2.13
E00076134,1,KV49P1,2.14
E00076135,1,KV49P1,3.01
E00076136,1,KV49P1,1.43
E00076137,1,KV49P1,1.47
E00076138,1,KV49P1,1.72
E00076139,1,KV49P1,2.02
E00076140,1,KV49P1,3.14
E00076141,1,KV49P1,2.89
E00076142,1,KV48P1,2.05
E00076143,1,KV48P1,1.14
E00076144,1,KV48P1,2.05
E00076145,1,KV48P1,1.55
E00076146,1,KV48P1,0.77
E00076147,1,KV48P1,0.96
E00076148,1,KV48P1,0.55
E00076149,1,KV48P1,0.72
E00076150,1,KV49P1,3.14
E00076151,1,KV49P1,3.15
E00076152,1,KV49P1,2.67
E00076153,1,KV48P1,1.39
E00076154,1,KV48P1,0.39
E00076155,1,KV49P1,3.15
E00076156,1,KV49P1,3.58
E00076157,1,KV49P1,2.27
E00076158,1,KV48P1,1.88
E00076159,1,KV48P1,0.4
E00076160,1,KV48P1,0.36
E00076161,1,KV48P1,2.06
E00076162,1,KV48P1,1.61
E00076163,1,KV48P1,1.58
E00076164,1,KV48P1,2.25
E00076165,1,KV49P1,2.0
E00076166,1,KV49P1,2.68
E00076167,1,KV48P1,0.77
E00076168,1,KV48P1,1.97
E00076169,1,KV48P1,1.17
E00076170,1,KV48P1,1.19
E00076171,1,KV48P1,1.86
E00076172,1,KV48P1,0.42
E00076173,1,KV48P1,1.09
E00076174,1,KV48P1,2.16
E00076175,1,KV48P1,0.78
E00076176,1,KV48P1,1.19
E00076177,1,KV48P1,1.73
E00076178,1,KV48P1,1.56
E00076179,1,KV48P1,1.11
E00076180,1,KV48P1,1.11
E00076181,1,KV48P1,1.85
E00076182,1,KV48P1,1.54
E00076183,1,KV48P1,1.37
E00076184,1,KV48P1,2.7
E00076185,1,KV49P1,1.21
E00076186,1,KV49P1,1.47
E00076187,1,KV49P1,2.85
E00076188,1,KV49P1,2.38
E00076189,1,KV49P1,2.61
E00076190,1,KV49P1,2.28
E00076191,1,KV49P1,0.84
E00076192,1,KV49P1,1.79
E00076193,1,KV49P1,2.48
E00076194,1,KV49P1,1.82
E00076195,1,KV49P1,1.02
E00076196,1,KV49P1,0.89
E00076197,1,KV48P1,3.2
E00076198,1,KV49P1,2.45
E00076199,1,KV49P1,1.18
E00076200,1,KV49P1,2.14
E00076201,1,KV48P1,1.62
E00076202,1,KV49P1,1.66
E00076203,1,KV49P1,2.09
E00076204,1,KV49P1,2.35
E00076205,1,KV49P1,2.28
E00076206,1,KV49P1,2.17
E00076207,1,KV48P1,3.21
E00076208,1,KV49P1,4.09
E00076209,1,KV49P1,4.56
E00076210,1,KV49P1,2.8
E00076211,1,KV48P1,4.4
E00076212,1,KV49P1,4.63
E00076213,1,KV49P1,4.57
E00076214,1,KV49P1,4.11
E00076215,1,KV49P1,4.56
E00076216,1,KV48P1,4.55
E00076217,1,KV49P1,3.84
E00076218,1,KV49P1,4.57
E00076219,1,KV49P1,3.55
E00076220,1,KV49P1,4.92
E00076221,1,KV49P1,0.77
E00076222,1,KV49P1,3.13
E00076223,1,KV49P1,2.84
E00076224,1,KV49P1,2.8
E00076225,1,KV49P1,2.77
E00076226,1,KV49P1,1.24
E00076227,1,KV49P1,2.78
E00076228,1,KV49P1,2.34
E00076229,1,KV49P1,2.58
E00076230,1,KV49P1,2.59
E00076231,1,KV49P1,3.33
E00076233,1,KV49P1,4.6
E00076234,1,KV49P1,4.64
E00076235,1,KV49P1,4.23
E00076236,1,KV49P1,4.55
E00076237,1,KV49P1,4.79
E00076238,1,KV49P1,4.57
E00076239,1,KV49P1,4.73
E00076240,1,KV49P1,4.08
E00076241,1,KV49P1,3.97
E00076242,1,KV49P1,3.22
E00076243,1,KV49P1,3.32
E00076246,1,KV49P1,3.21
E00076248,1,KV49P1,3.4
E00076249,1,KV49P1,4.51
E00076250,1,KV49P1,4.48
E00076251,1,KV49P1,4.06
E00076252,1,KV49P1,5.84
E00076253,1,KV49P1,5.19
E00076254,1,KV49P1,4.41
E00076255,1,KV49P1,4.55
E00076256,1,KV49P1,4.01
E00076257,1,KV49P1,4.57
E00076258,1,KV49P1,4.18
E00076259,1,KV49P1,2.71
E00076260,1,KV49P1,4.43
E00076261,1,KV49P1,4.35
E00076262,1,KV49P1,4.31
E00076263,1,KV49P1,3.78
E00076264,1,KV49P1,4.12
E00076265,1,KV49P1,3.87
E00076266,1,KV49P1,4.46
E00076267,1,KV49P1,4.07
E00076268,1,KV49P1,4.13
E00076269,1,KV49P1,4.33
E00076270,1,KV50P2,2.11
E00076271,1,KV49P1,2.24
E00076272,1,KV49P1,2.64
E00076273,1,KV49P1,2.31
E00076274,1,KV49P1,2.74
E00076275,1,KV49P1,1.98
E00076276,1,KV48P1,2.83
E00076277,1,KV50P2,2.26
E00076278,1,KV48P1,2.32
E00076279,1,KV49P1,2.49
E00076280,1,KV49P1,2.47
E00076281,1,KV50P2,2.12
E00076282,1,KV50P2,1.78
E00076283,1,KV48P1,2.6
E00076284,1,KV50P2,2.58
E00076285,1,KV50P2,1.96
E00076286,1,KV48P1,2.11
E00076287,1,KV50P2,1.93
E00076288,1,KV48P1,2.37
E00076289,1,KV50P2,1.79
E00076290,1,KV48P1,2.38
E00076291,1,KV50P2,1.83
E00076292,1,KV48P1,1.89
E00076293,1,KV50P2,1.89
E00076294,1,KV50P2,1.53
E00076295,1,KV50P2,1.53
E00076296,1,KV48P1,2.05
E00076297,1,KV50P2,1.61
E00076298,1,KV50P2,1.64
E00076299,1,KV50P2,2.67
E00076300,1,KV50P2,1.2
E00076301,1,KV50P2,1.31
E00076302,1,KV50P2,1.69
E00076303,1,KV50P2,1.28
E00076304,1,KV50P2,1.14
E00076305,1,KV50P1,0.92
E00076306,1,KV50P2,1.23
E00076307,1,KV49P1,1.73
E00076308,1,KV49P1,2.33
E00076309,1,KV49P1,2.63
E00076310,1,KV49P1,2.23
E00076311,1,KV49P1,2.3
E00076312,1,KV48P1,2.51
E00076313,1,KV49P1,2.56
E00076314,1,KV47P1,3.69
E00076315,1,KV47P1,1.91
E00076316,1,KV47P1,2.25
E00076317,1,KV47P1,2.93
E00076318,1,KV47P1,2.5
E00076319,1,KV47P1,2.78
E00076320,1,KV47P1,2.93
E00076321,1,KV47P1,4.06
E00076322,1,KV47P1,2.29
E00076323,1,KV47P1,3.41
E00076324,1,KV47P1,3.32
E00076325,1,KV47P1,1.41
E00076326,1,KV47P1,1.24
E00076327,1,KV47P1,1.98
E00076328,1,KV47P1,1.43
E00076329,1,KV47P1,3.11
E00076330,1,KV47P1,3.17
E00076331,1,KV47P1,1.95
E00076332,1,KV47P1,2.04
E00076333,1,KV47P1,2.91
E00076334,1,KV47P1,2.5
E00076335,1,KV47P1,1.92
E00076336,1,KV47P1,2.23
E00076337,1,KV47P1,2.29
E00076338,1,KV47P1,1.45
E00076339,1,KV47P1,2.28
E00076340,1,KV47P1,2.94
E00076341,1,KV47P1,2.8
E00076343,1,KV47P1,1.5
E00076344,1,KV49P1,6.17
E00076345,1,KV47P1,1.51
E00076346,1,KV49P1,5.27
E00076347,1,KV47P1,1.22
E00076348,1,KV49P1,5.66
E00076349,1,KV47P1,1.36
E00076350,1,KV47P1,2.1
E00076351,1,KV49P1,5.25
E00076352,1,KV47P1,1.47
E00076353,1,KV47P1,2.53
E00076354,1,KV47P1,1.94
E00076355,1,KV47P1,0.96
E00076356,1,KV49P1,5.84
E00076357,1,KV47P1,2.04
E00076358,1,KV47P1,1.98
E00076359,1,KV47P1,1.65
E00076360,1,KV47P1,1.96
E00076361,1,KV47P1,2.25
E00076362,1,KV47P1,2.97
E00076363,1,KV47P1,2.99
E00076364,1,KV47P1,2.03
E00076365,1,KV47P1,3.41
E00076366,1,KV47P1,3.04
E00076367,1,KV47P1,3.58
E00076368,1,KV47P1,2.72
E00076369,1,KV49P1,5.82
E00076370,1,KV49P1,4.58
E00076371,1,KV47P1,1.53
E00076372,1,KV49P1,5.05
E00076373,1,KV49P1,5.5
E00076374,1,KV47P1,1.85
E00076375,1,KV47P1,1.45
E00076376,1,KV49P1,5.51
E00076377,1,KV47P1,2.06
E00076378,1,KV47P1,1.3
E00076379,1,KV49P1,4.32
E00076380,1,KV47P1,1.98
E00076381,1,KV47P1,1.11
E00076382,1,KV47P1,0.49
E00076383,1,KV47P1,1.81
E00076384,1,KV47P1,0.0
E00076385,1,KV47P1,1.54
E00076386,1,KV47P1,0.55
E00076387,1,KV47P1,0.84
E00076388,1,KV47P1,1.66
E00076389,1,KV47P1,2.15
E00076390,1,KV49P1,5.17
E00076391,1,KV47P1,1.84
E00076392,1,KV47P1,1.01
E00076393,1,KV49P1,5.68
E00076394,1,KV47P1,1.72
E00076395,1,KV47P1,0.92
E00076396,1,KV47P1,2.42
E00076397,1,KV49P1,4.92
E00076398,1,KV47P1,2.14
E00076399,1,KV47P1,2.35
E00076400,1,KV47P1,1.97
E00076401,1,KV49P1,5.23
E00076402,1,KV47P1,2.31
E00076403,1,KV47P1,1.31
E00076404,1,KV47P1,2.28
E00076405,1,KV49P1,5.3
E00076406,1,KV47P1,1.84
E00076407,1,KV47P1,1.93
E00076408,1,KV51P1,2.69
E00076409,1,KV51P1,2.76
E00076410,1,KV51P1,2.01
E00076411,1,KV50P2,4.29
E00076412,1,KV51P1,2.24
E00076413,1,KV50P2,6.08
E00076414,1,KV51P1,1.99
E00076415,1,KV50P2,4.62
E00076416,1,KV51P1,1.21
E00076417,1,KV50P2,6.72
E00076418,1,KV51P1,2.7
E00076419,1,KV50P2,6.29
E00076420,1,KV50P2,5.6
E00076421,1,KV50P2,5.67
E00076422,1,KV51P1,2.26
E00076423,1,KV51P1,2.31
E00076424,1,KV51P1,1.37
E00076425,1,KV51P1,1.86
E00076426,1,KV51P1,1.6
E00076427,1,KV51P1,1.64
E00076428,1,KV51P1,1.75
E00076429,1,KV51P1,3.0
E00076430,1,KV51P1,3.14
E00076431,1,KV51P1,1.06
E00076432,1,KV51P1,1.57
E00076433,1,KV51P1,2.77
E00076434,1,KV51P1,2.66
E00076435,1,KV51P1,2.5
E00076436,1,KV51P1,1.13
E00076437,1,KV51P1,1.62
E00076438,1,KV51P1,1.62
E00076439,1,KV51P1,2.65
E00076440,1,KV51P1,3.03
E00076441,1,KV51P1,1.48
E00076442,1,KV51P1,2.47
E00076443,1,KV51P1,2.25
E00076444,1,KV51P1,2.62
E00076445,1,KV51P1,2.26
E00076446,1,KV51P1,2.14
E00076447,1,KV50P2,5.12
E00076448,1,KV50P2,4.58
E00076449,1,KV50P2,5.9
E00076451,1,KV51P1,1.37
E00076452,1,KV51P1,2.14
E00076453,1,KV51P1,2.84
E00076454,1,KV51P1,3.15
E00076455,1,KV51P1,1.83
E00076456,1,KV51P1,2.39
E00076458,1,KV50P2,3.59
E00076459,1,KV50P2,3.92
E00076460,1,KV51P1,0.71
E00076461,1,KV50P2,3.45
E00076462,1,KV50P2,3.78
E00076463,1,KV50P2,3.43
E00076464,1,KV50P2,3.69
E00076465,1,KV50P2,4.39
E00076466,1,KV51P1,3.58
E00076467,1,KV50P2,3.87
E00076468,1,KV51P1,3.05
E00076469,1,KV50P2,4.04
E00076470,1,KV50P2,3.47
E00076471,1,KV51P1,0.57
E00076472,1,KV51P1,2.93
E00076473,1,KV51P1,0.13
E00076474,1,KV50P2,4.3
E00076475,1,KV51P1,1.09
E00076476,1,KV51P1,0.55
E00076477,1,KV51P1,1.22
E00076478,1,KV51P1,0.68
E00076479,1,KV51P1,1.7
E00076480,1,KV51P1,1.08
E00076481,1,KV51P1,2.75
E00076482,1,KV51P1,0.59
E00076483,1,KV51P1,2.29
E00076484,1,KV51P1,1.89
E00076485,1,KV51P1,1.16
E00076486,1,KV51P1,2.08
E00076487,1,KV51P1,1.75
E00076488,1,KV48P1,2.41
E00076489,1,KV48P1,2.11
E00076490,1,KV48P1,2.25
E00076491,1,KV48P1,2.17
E00076492,1,KV48P1,1.49
E00076493,1,KV48P1,1.93
E00076494,1,KV48P1,2.22
E00076495,1,KV48P1,2.42
E00076496,1,KV48P1,1.89
E00076497,1,KV48P1,1.78
E00076498,1,KV48P1,1.48
E00076499,1,KV48P1,1.71
E00076500,1,KV48P1,1.85
E00076501,1,KV48P1,3.02
E00076502,1,KV48P1,1.69
E00076503,1,KV48P1,1.87
E00076504,1,KV48P1,1.83
E00076505,1,KV48P1,2.68
E00076506,1,KV48P1,1.52
E00076507,1,KV48P1,1.58
E00076508,1,KV48P1,2.47
E00076509,1,KV48P1,1.51
E00076510,1,KV48P1,1.58
E00076511,1,KV48P1,1.34
E00076512,1,KV48P1,1.4
E00076513,1,KV48P1,2.23
E00076514,1,KV48P1,1.52
E00076515,1,KV48P1,1.79
E00076516,1,KV48P1,2.05
E00076517,1,KV48P1,1.57
E00076518,1,KV48P1,2.41
E00076519,1,KV48P1,1.88
